A1,378693.6100,2067061.6020
1,378708.9978,2067009.1289
B1,378808.5098,2066972.8983
100,378697.2692,2066920.5968
101,378695.0207,2066984.9075
102,378689.3916,2067027.4113
103,378685.8217,2067027.0218
104,378682.1408,2067085.6915
105,378680.5367,2067085.2592
106,378677.5382,2067084.3547
107,378677.3210,2067099.4849
TR1,378666.8809,2067035.3628
TR2,378667.9527,2067031.4294
TR3,378683.6788,2067012.9099
TR4,378689.5005,2067017.0037
TR5,378692.3190,2067012.2441
TR6,378696.0120,2067010.8038
108,378711.8355,2067016.2822
109,378711.9625,2067021.1823
110,378715.9348,2067021.1466
111,378759.7961,2067028.4587
112,378758.7429,2067028.6045
113,378759.8389,2067027.6308
TR9,378758.2076,2067027.8622
114,378675.2302,2067007.0942
115,378675.4925,2067002.6049
116,378680.2461,2067002.8349
117,378678.9598,2066983.6280
118,378681.0451,2066976.3800
119,378684.1755,2066981.0213
TR12,378677.0526,2066964.3828
120,378729.2148,2066932.6697
B1,378808.5098,2066972.8983
B2,378895.0648,2066922.8678
TR13,378668.7475,2067019.1998
TR14,378789.7637,2066982.5389
TR15,378791.0047,2066982.8721
TR16,378803.6146,2067022.3279
TR17,378789.8035,2066941.7008
TR18,378794.7298,2066943.8573
TR19,378799.9898,2066938.2651
TR20,378799.3116,2066928.0993
TR21,378800.6971,2066923.3524
TR22,378801.3146,2066935.3926
TR23,378805.0873,2066925.4686
TR24,378848.4337,2066961.1670
B2,378895.0648,2066922.8678
B3,379192.8221,2066826.1917
B4,379253.5164,2066811.3980
B4,379253.5164,2066811.3980
121,379131.2709,2066751.6825
122,379194.4394,2066867.1333
123,379243.0527,2066839.3006
124,379226.2148,2066925.9002
125,379286.7718,2066815.7118
126,379325.3886,2066795.0080
TR25,379181.0003,2066885.1922
TR26,379182.7234,2066886.8587
TR27,379180.3837,2066889.6240
TR28,379200.0349,2066895.7890
TR29,379173.4889,2066819.7166
TR30,379184.0707,2066819.5109
TR31,379181.9647,2066816.6195
TR32,379178.4995,2066815.5845
TR33,379184.4816,2066820.0428
TR34,379185.3274,2066820.5181
TR35,379218.9889,2066808.4834
TR36,379219.7542,2066808.2093
TR37,379218.5499,2066805.3852
127,379107.7190,2066724.9935
128,379218.4834,2066805.0820
129,379399.2161,2066799.1652
